file,id,title,description,type,appliesTo,severity,tags,serviceName,expectedStatus,command,expected,path,operator
./rules\VAULT\VAULT-006_FirewallNonStandardRules.json,VAULT-006,Vault_FirewallNonStandardRules,Vault Firewall Rule,command,Vault,medium,"vault,firewall,rules",,,(Get-NetFirewallRule -ErrorAction SilentlyContinue | Where-Object {$_.Enabled -eq 'True'} | Measure).Count -ge 1,True,,
./rules\VAULT\VAULT-007_ServerCertificate.json,VAULT-007,Vault_ServerCertificate,Vault Server Certificate,command,Vault,high,"vault,cert",,,(Get-ChildItem Cert:/LocalMachine/My | Measure).Count -ge 1,True,,
./rules\VAULT\VAULT-008_NICHardening.json,VAULT-008,Vault_NICHardening,Network Interface Configuration Hardening,command,Vault,high,"vault,network",,,(Get-NetAdapterAdvancedProperty -ErrorAction SilentlyContinue | Measure).Count -ge 0,True,,
./rules\WINDOWS\WIN-001_ImportingINFConfiguration.json,WIN-001,ImportingINFConfiguration,Importing an INF File to the Local Machine,command,Windows,medium,"cross,inf",,,Test-Path C:/Windows/inf/hardening.inf,True,,
./rules\WINDOWS\WIN-002_ValidateServerRoles.json,WIN-002,ValidateServerRoles,This function checks for unnecessary roles,command,Windows,medium,"cross,roles",,,"(Get-WindowsFeature | Where-Object {$_.InstallState -eq 'Installed' -and $_.Name -in @('Fax','XPS-Viewer')}).Count -eq 0",True,,
./rules\WINDOWS\WIN-003_EnableScreenSaver.json,WIN-003,EnableScreenSaver,Checks if the screen saver is disabled,command,Windows,low,"cross,ux",,,-not (Get-ItemProperty -Path 'HKCU:Control Panel/Desktop' -Name ScreenSaveActive -ErrorAction SilentlyContinue).ScreenSaveActive,True,,
./rules\WINDOWS\WIN-004_AdvancedAuditPolicyConfiguration.json,WIN-004,AdvancedAuditPolicyConfiguration,Advanced Audit Policy Configuration,command,Windows,high,"cross,audit",,,(auditpol /get /category:* | Select-String 'Account Logon').Length -gt 0,True,,
./rules\WINDOWS\WIN-005_RemoteDesktopServices.json,WIN-005,RemoteDesktopServices,Check Remote Desktop Services settings,command,Windows,high,"cross,rdp",,,(Get-ItemProperty -Path 'HKLM:SOFTWARE/Microsoft/Windows NT/CurrentVersion/Winlogon').RDPAutoLogon -eq $null,True,,
./rules\WINDOWS\WIN-006_EventLogSizeAndRetention.json,WIN-006,EventLogSizeAndRetention,Check Event Log and Retention settings,command,Windows,medium,"cross,eventlog",,,"(@('Security','System','Application') | % { (Get-WinEvent -ListLog $_).MaximumSizeInBytes -ge 20971520 }).Count -eq 3",True,,
./rules\WINDOWS\WIN-007_RegistryAudits.json,WIN-007,RegistryAudits,Check Registry Audits access control,command,Windows,medium,"cross,registry,audit",,,(auditpol /get /subcategory:'Registry' | Select-String 'Success and Failure') -ne $null,True,,
./rules\WINDOWS\WIN-008_RegistryPermissions.json,WIN-008,RegistryPermissions,Check Registry permissions,command,Windows,medium,"cross,registry,acl",,,([string](Get-Acl 'HKLM:SOFTWARE').AccessToString) -notmatch 'Everyone',True,,
./rules\WINDOWS\WIN-009_FileSystemPermissions.json,WIN-009,FileSystemPermissions,Validates unnecessary permissions on %SystemRoot%/System32/Config and %SystemRoot%/System32/Config/RegBack.,command,Windows,high,"cross,filesystem,acl",,,"(@('C:/Windows/System32/Config','C:/Windows/System32/Config/RegBack') | % { (Get-Acl $_).AccessToString -notmatch 'Everyone' }) -notcontains $false",True,,
./rules\WINDOWS\WIN-010_FileSystemAudit.json,WIN-010,FileSystemAudit,Check audit access rules on %SystemRoot%/System32/Config and %SystemRoot%/System32/Config/RegBack.,command,Windows,medium,"cross,filesystem,audit",,,"(@('C:/Windows/System32/Config','C:/Windows/System32/Config/RegBack') | % { (Get-Acl $_).AuditToString -match 'Success' }) -notcontains $false",True,,
./rules\WINDOWS\WIN-011_DisableServiceRRAS.json,WIN-011,DisableService_RRAS,Ensure service 'Routing and Remote Access' is Disabled/Stopped,service,Windows,high,"cross,services",Routing and Remote Access,Stopped,,,,
./rules\WINDOWS\WIN-012_DisableServiceSCARDSVR.json,WIN-012,DisableService_SCARDSVR,Ensure service 'Smart Card' is Disabled/Stopped,service,Windows,high,"cross,services",Smart Card,Stopped,,,,
./rules\WINDOWS\WIN-013_DisableServiceSCPolicySvc.json,WIN-013,DisableService_SCPolicySvc,Ensure service 'Smart Card Removal Policy' is Disabled/Stopped,service,Windows,high,"cross,services",Smart Card Removal Policy,Stopped,,,,
./rules\WINDOWS\WIN-014_DisableServiceSNMPTRAP.json,WIN-014,DisableService_SNMPTRAP,Ensure service 'SNMP Trap' is Disabled/Stopped,service,Windows,high,"cross,services",SNMP Trap,Stopped,,,,
./rules\WINDOWS\WIN-015_DisableServiceSACSVR.json,WIN-015,DisableService_SACSVR,Ensure service 'Special Administration Console Helper' is Disabled/Stopped,service,Windows,high,"cross,services",Special Administration Console Helper,Stopped,,,,
./rules\WINDOWS\WIN-016_DisableServiceWerSvc.json,WIN-016,DisableService_WerSvc,Ensure service 'Windows Error Reporting Service' is Disabled/Stopped,service,Windows,high,"cross,services",Windows Error Reporting Service,Stopped,,,,
./rules\WINDOWS\WIN-017_DisableServiceWinHttpAutoProxySvc.json,WIN-017,DisableService_WinHttpAutoProxySvc,Ensure service 'WinHTTP Web Proxy Auto-Discovery Service' is Disabled/Stopped,service,Windows,high,"cross,services",WinHTTP Web Proxy Auto-Discovery Service,Stopped,,,,
./rules\WINDOWS\WIN-018_TLS1-2Enabled.json,WIN-018,TLS_1-2_Enabled,Ensure TLS 1.2 is enabled (server),registry,Windows,high,"tls,schannel",,,,{'Enabled': 1},HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\Schannel\Protocols\TLS 1.2\Server,eq
./rules\WINDOWS\WIN-019_TLS1Disabled.json,WIN-019,TLS_1-0_Disabled,Disable TLS 1.0 (server),registry,Windows,high,"tls,schannel",,,,"{'Enabled': 0, 'DisabledByDefault': 1}",HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\Schannel\Protocols\TLS 1.0\Server,eq
./rules\WINDOWS\WIN-020_PowerShellVersion5+.json,WIN-020,PowerShell >= 5,Minimum PSVersion 5,command,Windows,medium,runtime,,,$PSVersionTable.PSVersion.Major,5,,ge
./rules\WINDOWS\WIN-021_WindowsFirewallDomainEnabled.json,WIN-021,Windows Firewall (Domain) enabled,Domain profile should be enabled,command,Windows,low,firewall,,,(Get-NetFirewallProfile -Profile Domain).Enabled,True,,eq
./rules\WINDOWS\WIN-022_NLAEnabled.json,WIN-022,RDP_Requires_NLA,NLA must be enabled for RDP,registry,"Windows,PSM",high,"rdp,nla",,,,{'UserAuthentication': 1},HKLM:\SYSTEM\CurrentControlSet\Control\Terminal Server\WinStations\RDP-Tcp,eq
./rules\WINDOWS\WIN-023_RDPEncryptionLevel.json,WIN-023,RDP encryption level >= 3,Ensure strong RDP encryption,registry,"Windows,PSM",high,rdp,,,,{'MinEncryptionLevel': 3},HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,ge
./rules\WINDOWS\WIN-024_SMBv1Disabled.json,WIN-008,SMBv1 disabled,Disable SMBv1 server component,registry,Windows,high,smb,,,,{'SMB1': 0},HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters,eq
./rules\WINDOWS\WIN-025_UACEnabled.json,WIN-025,UAC enabled,Enable User Account Control,registry,Windows,medium,uac,,,,{'EnableLUA': 1},HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,eq
